link,property,avg_nightly,avail,booked,last_avail,pct_booked,num_reviews,avg_score
https://www.airbnb.com/rooms/10656126,maui_vista,147,38,25,2026-05-31,40%,166,4.81
https://www.airbnb.com/rooms/1173408198220862708,kamaole_sands,274,80,14,2026-06-30,15%,10,4.6
https://www.airbnb.com/rooms/13225921,kamaole_sands,258,66,22,2026-06-21,25%,200,4.88
https://www.airbnb.com/rooms/1351674021070226317,kamaole_sands,231,54,37,2026-06-30,41%,1,5.02
https://www.airbnb.com/rooms/14895700,kamaole_sands,194,28,32,2026-05-31,53%,79,4.82
https://www.airbnb.com/rooms/1494594522868451704,kamaole_sands,260,42,21,2026-06-01,33%,7,5.0
https://www.airbnb.com/rooms/1515547004809606902,maui_vista,185,54,37,2026-06-30,41%,12,5.01
https://www.airbnb.com/rooms/1573469505878553212,maui_vista,145,12,21,2026-05-01,64%,7,4.86
https://www.airbnb.com/rooms/1579709870450109135,maui_vista,208,94,0,2026-06-30,0%,2,5.17
https://www.airbnb.com/rooms/20048859,kamaole_sands,161,52,42,2026-06-30,45%,55,4.82
https://www.airbnb.com/rooms/31704158,maui_vista,186,50,43,2026-06-30,46%,131,4.7
https://www.airbnb.com/rooms/32961319,kamaole_sands,280,56,8,2026-05-31,12%,135,4.94
https://www.airbnb.com/rooms/36351502,kamaole_sands,197,54,23,2026-06-15,30%,145,4.99
https://www.airbnb.com/rooms/43390500,kamaole_sands,173,42,52,2026-06-30,55%,,5.04
https://www.airbnb.com/rooms/46194280,maui_vista,183,87,1,2026-05-31,1%,203,4.87
https://www.airbnb.com/rooms/47354990,kamaole_sands,246,34,50,2026-06-22,60%,76,4.89
https://www.airbnb.com/rooms/48874217,maui_vista,150,34,29,2026-05-26,46%,117,4.87
https://www.airbnb.com/rooms/49931996,kamaole_sands,214,54,38,2026-06-26,41%,69,4.88
https://www.airbnb.com/rooms/564846980716582592,kamaole_sands,260,36,55,2026-06-30,60%,6,4.67
https://www.airbnb.com/rooms/573474217916601002,kamaole_sands,276,50,43,2026-06-30,46%,46,4.98
https://www.airbnb.com/rooms/582663501443755788,maui_vista,199,42,41,2026-06-25,49%,190,4.96
https://www.airbnb.com/rooms/659882298811850147,kamaole_sands,230,14,37,2026-05-19,73%,81,4.99
https://www.airbnb.com/rooms/733608330309904024,kamaole_sands,128,68,23,2026-06-30,25%,63,4.87
https://www.airbnb.com/rooms/756031921076238815,maui_vista,220,62,29,2026-06-30,32%,129,4.97
https://www.airbnb.com/rooms/849431309111773968,maui_vista,244,117,15,2026-06-30,11%,99,4.83
https://www.airbnb.com/rooms/859411360329483540,kamaole_sands,215,66,26,2026-06-30,28%,9,5.05
https://www.airbnb.com/rooms/886402393022040490,maui_vista,190,27,60,2026-06-22,69%,116,4.97
https://www.airbnb.com/rooms/947888229024493083,maui_vista,214,50,13,2026-06-01,21%,34,4.97
https://www.airbnb.com/rooms/960849307156992001,maui_vista,221,70,24,2026-06-30,26%,99,4.95
https://www.airbnb.com/rooms/983678966634889713,kamaole_sands,207,16,40,2026-05-25,71%,23,4.83
https://www.airbnb.com/rooms/990833735613623342,maui_vista,202,108,31,2026-06-30,22%,66,4.88
