timestamp,download_mbps,upload_mbps,ping_ms,server,status
2026-05-02 16:49:22,86.21,21.69,36.4,"New York, NY, United States",ok
2026-05-02 16:59:45,38.67,19.48,31.7,"New York, NY, United States",ok
2026-05-02 17:10:07,39.32,18.99,33.7,"New York, NY, United States",ok
2026-05-02 17:20:29,107.16,21.92,31.4,"New York, NY, United States",ok
2026-05-02 17:30:51,86.0,21.66,36.5,"New York, NY, United States",ok
2026-05-02 17:41:14,83.78,22.68,50.2,"Secaucus, NJ, United States",ok
2026-05-02 17:51:37,66.48,16.76,30.5,"New York, NY, United States",ok
2026-05-02 18:01:59,75.26,14.24,50.2,"Secaucus, NJ, United States",ok
2026-05-02 18:12:32,1.58,1.46,64.2,"New York, NY, United States",ok
2026-05-02 18:23:22,84.13,19.66,33.8,"Secaucus, NJ, United States",ok
2026-05-02 18:33:44,109.44,22.12,31.3,"New York, NY, United States",ok
2026-05-02 18:44:07,0.63,2.43,56.1,"New York, NY, United States",ok
2026-05-02 18:54:50,0.7,2.07,62.0,"New York, NY, United States",ok
2026-05-02 19:05:44,104.9,19.2,28.5,"New York, NY, United States",ok
2026-05-02 19:16:06,0.91,1.58,66.8,"New York, NY, United States",ok
2026-05-02 19:31:21,,,,,error: <urlopen error [Errno 11001] getaddrinfo failed>
2026-05-02 19:41:36,1.55,2.48,54.9,"Secaucus, NJ, United States",ok
2026-05-02 19:52:21,128.38,22.66,33.1,"White Plains, NY, United States",ok
2026-05-02 20:02:43,118.01,22.98,32.5,"Kingston, NY, United States",ok
2026-05-02 20:13:06,86.56,22.94,29.8,"White Plains, NY, United States",ok
2026-05-02 20:23:27,100.59,22.2,34.3,"Secaucus, NJ, United States",ok
2026-05-02 20:33:50,141.95,20.83,33.6,"Secaucus, NJ, United States",ok
2026-05-02 20:44:12,102.79,18.32,31.5,"White Plains, NY, United States",ok
2026-05-02 20:54:34,68.32,22.88,32.6,"Kingston, NY, United States",ok
2026-05-02 21:04:56,114.36,23.07,28.9,"White Plains, NY, United States",ok
2026-05-02 21:15:19,118.28,22.61,28.7,"Kingston, NY, United States",ok
2026-05-02 21:25:41,101.54,21.32,31.2,"White Plains, NY, United States",ok
2026-05-02 21:36:02,118.25,20.46,29.7,"White Plains, NY, United States",ok
2026-05-02 21:46:24,111.37,22.65,34.4,"Secaucus, NJ, United States",ok
2026-05-02 21:56:47,120.99,22.12,28.8,"White Plains, NY, United States",ok
2026-05-02 22:07:09,136.6,22.27,30.4,"Secaucus, NJ, United States",ok
2026-05-02 22:17:31,125.69,22.12,34.7,"White Plains, NY, United States",ok
2026-05-02 22:27:53,109.75,22.37,39.0,"Boston, MA, United States",ok
2026-05-02 22:38:15,82.09,22.74,33.8,"Boston, MA, United States",ok
2026-05-02 22:48:37,105.03,22.37,35.7,"Bridgeport, CT, United States",ok
2026-05-02 22:59:00,126.28,21.81,30.7,"Bridgeport, CT, United States",ok
2026-05-02 23:09:22,132.06,23.14,39.3,"Boston, MA, United States",ok
2026-05-02 23:19:44,100.14,18.09,36.9,"West Hartford, CT, United States",ok
2026-05-02 23:30:06,,,,,error: HTTP Error 403: Forbidden
2026-05-02 23:40:06,120.04,22.08,37.4,"Bridgeport, CT, United States",ok
2026-05-02 23:50:28,113.82,18.64,34.2,"Bridgeport, CT, United States",ok
2026-05-03 00:00:51,110.75,21.68,29.5,"Bridgeport, CT, United States",ok
2026-05-03 09:32:10,100.36,22.22,29.8,"New York, NY, United States",ok
2026-05-03 09:42:33,154.0,23.28,29.5,"New York, NY, United States",ok
2026-05-03 09:52:55,77.04,22.47,38.9,"New York, NY, United States",ok
2026-05-03 10:03:18,73.05,22.69,39.8,"New York, NY, United States",ok
2026-05-03 10:13:40,48.94,22.35,37.6,"New York, NY, United States",ok
2026-05-03 10:24:03,39.64,22.05,42.4,"New York, NY, United States",ok
2026-05-03 14:45:45,144.6,22.04,25.6,"New York, NY, United States",ok
2026-05-03 14:56:07,44.76,20.77,33.8,"New York, NY, United States",ok
2026-05-03 15:06:29,53.53,17.49,44.1,"New York, NY, United States",ok
2026-05-03 15:16:54,23.49,22.17,32.6,"New York, NY, United States",ok
2026-05-03 15:27:16,63.6,22.04,35.0,"New York, NY, United States",ok
2026-05-03 15:37:38,75.48,23.28,34.9,"New York, NY, United States",ok
2026-05-03 15:48:00,37.85,19.79,39.0,"New York, NY, United States",ok
2026-05-03 15:58:24,75.09,20.66,35.7,"New York, NY, United States",ok
2026-05-03 16:08:47,51.64,22.5,41.9,"New York, NY, United States",ok
2026-05-03 16:19:09,41.68,21.64,39.2,"New York, NY, United States",ok
2026-05-03 16:29:33,69.86,22.06,43.1,"Secaucus, NJ, United States",ok
2026-05-03 16:39:56,35.22,22.66,43.8,"New York, NY, United States",ok
2026-05-03 16:50:19,61.97,22.16,50.5,"Carlstadt, NJ, United States",ok
2026-05-03 17:00:42,79.31,21.11,40.9,"New York, NY, United States",ok
2026-05-03 17:11:06,45.83,22.63,45.8,"Carlstadt, NJ, United States",ok
2026-05-03 17:21:29,39.13,20.52,44.9,"Secaucus, NJ, United States",ok
2026-05-03 17:31:52,63.25,23.29,45.9,"Carlstadt, NJ, United States",ok
2026-05-03 17:42:15,59.2,22.59,44.6,"Carlstadt, NJ, United States",ok
2026-05-03 17:52:38,88.78,21.53,46.0,"New York, NY, United States",ok
2026-05-03 18:03:00,68.1,23.22,43.4,"Newark, NJ, United States",ok
2026-05-03 18:13:23,60.4,22.84,44.8,"Newark, NJ, United States",ok
2026-05-03 18:23:47,63.53,23.23,38.0,"New York, NY, United States",ok
2026-05-03 18:34:10,73.85,21.81,45.9,"New York, NY, United States",ok
2026-05-03 18:44:32,61.46,7.71,42.5,"Newark, NJ, United States",ok
2026-05-03 18:54:57,67.17,21.26,40.5,"Secaucus, NJ, United States",ok
2026-05-03 19:05:20,1.1,22.81,45.2,"Carlstadt, NJ, United States",ok
2026-05-03 19:15:55,70.83,22.33,44.6,"Carlstadt, NJ, United States",ok
