year_month,category,island,value
2024-01,AVERAGE DAILY CENSUS,hawaii island,43370.73115227473
2024-01,AVERAGE DAILY CENSUS,kauai,28914.75713110618
2024-01,AVERAGE DAILY CENSUS,lanai,507.44538387986967
2024-01,AVERAGE DAILY CENSUS,maui,53377.4464381652
2024-01,AVERAGE DAILY CENSUS,molokai,1081.934503777003
2024-01,AVERAGE DAILY CENSUS,oahu,112697.06488392185
2024-01,AVERAGE LENGTH OF STAY,hawaii island,9.399849196969614
2024-01,AVERAGE LENGTH OF STAY,kauai,8.452385640299653
2024-01,AVERAGE LENGTH OF STAY,lanai,4.246088060551788
2024-01,AVERAGE LENGTH OF STAY,maui,9.455172050418755
2024-01,AVERAGE LENGTH OF STAY,molokai,8.835720874479618
2024-01,AVERAGE LENGTH OF STAY,oahu,7.754911344103848
2024-01,PER PERSON PER DAY SPENDING ($),hawaii island,222.67540194929163
2024-01,PER PERSON PER DAY SPENDING ($),kauai,275.8821567943029
2024-01,PER PERSON PER DAY SPENDING ($),lanai,681.0097872361395
2024-01,PER PERSON PER DAY SPENDING ($),maui,304.46601896522117
2024-01,PER PERSON PER DAY SPENDING ($),molokai,167.35915460979948
2024-01,PER PERSON PER DAY SPENDING ($),oahu,210.10252360685953
2024-01,PER PERSON PER TRIP SPENDING ($),hawaii island,2093.1151981979347
2024-01,PER PERSON PER TRIP SPENDING ($),kauai,2331.8623805030634
2024-01,PER PERSON PER TRIP SPENDING ($),lanai,2891.6275267022856
2024-01,PER PERSON PER TRIP SPENDING ($),maui,2878.778592822226
2024-01,PER PERSON PER TRIP SPENDING ($),molokai,1478.7387759210671
2024-01,PER PERSON PER TRIP SPENDING ($),oahu,1629.3264437436817
2024-01,TOTAL EXPENDITURES ($ MILLION),hawaii island,299.38544475719067
2024-01,TOTAL EXPENDITURES ($ MILLION),kauai,247.2890323759037
2024-01,TOTAL EXPENDITURES ($ MILLION),lanai,10.712833460209726
2024-01,TOTAL EXPENDITURES ($ MILLION),maui,503.80017720628206
2024-01,TOTAL EXPENDITURES ($ MILLION),molokai,5.613220960754056
2024-01,TOTAL EXPENDITURES ($ MILLION),oahu,734.0160697911372
2024-01,TOTAL VISITOR DAYS,hawaii island,1344492.6657205168
2024-01,TOTAL VISITOR DAYS,kauai,896357.4710642915
2024-01,TOTAL VISITOR DAYS,lanai,15730.80690027596
2024-01,TOTAL VISITOR DAYS,maui,1654700.8395831212
2024-01,TOTAL VISITOR DAYS,molokai,33539.969617087096
2024-01,TOTAL VISITOR DAYS,oahu,3493609.0114015774
2024-01,VISITOR ARRIVALS,hawaii island,143033.42931862816
2024-01,VISITOR ARRIVALS,kauai,106047.86733707455
2024-01,VISITOR ARRIVALS,lanai,3704.7764144184302
2024-01,VISITOR ARRIVALS,maui,175004.83658674802
2024-01,VISITOR ARRIVALS,molokai,3795.951693535412
2024-01,VISITOR ARRIVALS,oahu,450502.76610290457
2024-02,AVERAGE DAILY CENSUS,hawaii island,39635.959607712975
2024-02,AVERAGE DAILY CENSUS,kauai,28420.767804527564
2024-02,AVERAGE DAILY CENSUS,lanai,636.9397871410572
2024-02,AVERAGE DAILY CENSUS,maui,51975.81810535429
2024-02,AVERAGE DAILY CENSUS,molokai,830.9803068784403
2024-02,AVERAGE DAILY CENSUS,oahu,111355.2356154425
2024-02,AVERAGE LENGTH OF STAY,hawaii island,7.916932868106493
2024-02,AVERAGE LENGTH OF STAY,kauai,7.573616971242009
2024-02,AVERAGE LENGTH OF STAY,lanai,4.4267154468105
2024-02,AVERAGE LENGTH OF STAY,maui,8.313810229351635
2024-02,AVERAGE LENGTH OF STAY,molokai,6.747832197667884
2024-02,AVERAGE LENGTH OF STAY,oahu,7.117408243814195
2024-02,PER PERSON PER DAY SPENDING ($),hawaii island,237.33719952372655
2024-02,PER PERSON PER DAY SPENDING ($),kauai,283.9172656368906
2024-02,PER PERSON PER DAY SPENDING ($),lanai,600.2598166996027
2024-02,PER PERSON PER DAY SPENDING ($),maui,293.98162390137924
2024-02,PER PERSON PER DAY SPENDING ($),molokai,147.68820331721744
2024-02,PER PERSON PER DAY SPENDING ($),oahu,210.91649784818577
2024-02,PER PERSON PER TRIP SPENDING ($),hawaii island,1878.9826757337396
2024-02,PER PERSON PER TRIP SPENDING ($),kauai,2150.2806214561806
2024-02,PER PERSON PER TRIP SPENDING ($),lanai,2657.1794026837706
2024-02,PER PERSON PER TRIP SPENDING ($),maui,2444.107432032692
2024-02,PER PERSON PER TRIP SPENDING ($),molokai,996.5752135596407
2024-02,PER PERSON PER TRIP SPENDING ($),oahu,1501.1788205410962
2024-02,TOTAL EXPENDITURES ($ MILLION),hawaii island,272.80554195817405
2024-02,TOTAL EXPENDITURES ($ MILLION),kauai,234.00525378851077
2024-02,TOTAL EXPENDITURES ($ MILLION),lanai,11.087551436461272
2024-02,TOTAL EXPENDITURES ($ MILLION),maui,443.11812689622815
2024-02,TOTAL EXPENDITURES ($ MILLION),molokai,3.5590536669311383
2024-02,TOTAL EXPENDITURES ($ MILLION),oahu,681.1130330789922
2024-02,TOTAL VISITOR DAYS,hawaii island,1149442.8286236762
2024-02,TOTAL VISITOR DAYS,kauai,824202.2663312993
2024-02,TOTAL VISITOR DAYS,lanai,18471.25382709066
2024-02,TOTAL VISITOR DAYS,maui,1507298.7250552743
2024-02,TOTAL VISITOR DAYS,molokai,24098.42889947477
2024-02,TOTAL VISITOR DAYS,oahu,3229301.8328478327
2024-02,VISITOR ARRIVALS,hawaii island,145187.89634483668
2024-02,VISITOR ARRIVALS,kauai,108825.4488523648
2024-02,VISITOR ARRIVALS,lanai,4172.67702183103
2024-02,VISITOR ARRIVALS,maui,181300.59304623114
2024-02,VISITOR ARRIVALS,molokai,3571.2845538458146
2024-02,VISITOR ARRIVALS,oahu,453718.7867022309
2024-03,AVERAGE DAILY CENSUS,hawaii island,39129.53206567371
2024-03,AVERAGE DAILY CENSUS,kauai,28728.66055425755
2024-03,AVERAGE DAILY CENSUS,lanai,444.8173600529881
2024-03,AVERAGE DAILY CENSUS,maui,55128.4089131259
2024-03,AVERAGE DAILY CENSUS,molokai,456.71645556382657
2024-03,AVERAGE DAILY CENSUS,oahu,114715.92288650856
2024-03,AVERAGE LENGTH OF STAY,hawaii island,7.653876970963691
2024-03,AVERAGE LENGTH OF STAY,kauai,7.451561956606868
2024-03,AVERAGE LENGTH OF STAY,lanai,3.956268337511269
2024-03,AVERAGE LENGTH OF STAY,maui,8.080344782846309
2024-03,AVERAGE LENGTH OF STAY,molokai,5.144984004217134
2024-03,AVERAGE LENGTH OF STAY,oahu,6.888709675887399
2024-03,PER PERSON PER DAY SPENDING ($),hawaii island,238.6708156513325
2024-03,PER PERSON PER DAY SPENDING ($),kauai,274.4153935990393
2024-03,PER PERSON PER DAY SPENDING ($),lanai,645.2148482892846
2024-03,PER PERSON PER DAY SPENDING ($),maui,281.90745710213764
2024-03,PER PERSON PER DAY SPENDING ($),molokai,168.03770161983027
2024-03,PER PERSON PER DAY SPENDING ($),oahu,217.3429104082675
2024-03,PER PERSON PER TRIP SPENDING ($),hawaii island,1826.7570595548545
2024-03,PER PERSON PER TRIP SPENDING ($),kauai,2044.823307249901
2024-03,PER PERSON PER TRIP SPENDING ($),lanai,2552.643075179034
2024-03,PER PERSON PER TRIP SPENDING ($),maui,2277.9094502407274
2024-03,PER PERSON PER TRIP SPENDING ($),molokai,864.5512869394385
2024-03,PER PERSON PER TRIP SPENDING ($),oahu,1497.2122099149603
2024-03,TOTAL EXPENDITURES ($ MILLION),hawaii island,289.51139735924875
2024-03,TOTAL EXPENDITURES ($ MILLION),kauai,244.39118750066316
2024-03,TOTAL EXPENDITURES ($ MILLION),lanai,8.897085729973893
2024-03,TOTAL EXPENDITURES ($ MILLION),maui,481.77439669437035
2024-03,TOTAL EXPENDITURES ($ MILLION),molokai,2.379113088031924
2024-03,TOTAL EXPENDITURES ($ MILLION),oahu,772.9134690600488
2024-03,TOTAL VISITOR DAYS,hawaii island,1213015.494035885
2024-03,TOTAL VISITOR DAYS,kauai,890588.477181984
2024-03,TOTAL VISITOR DAYS,lanai,13789.33816164263
2024-03,TOTAL VISITOR DAYS,maui,1708980.676306903
2024-03,TOTAL VISITOR DAYS,molokai,14158.210122478624
2024-03,TOTAL VISITOR DAYS,oahu,3556193.6094817654
2024-03,VISITOR ARRIVALS,hawaii island,158483.79829433755
2024-03,VISITOR ARRIVALS,kauai,119517.01970247336
2024-03,VISITOR ARRIVALS,lanai,3485.440568047251
2024-03,VISITOR ARRIVALS,maui,211498.48456156012
2024-03,VISITOR ARRIVALS,molokai,2751.8472576151285
2024-03,VISITOR ARRIVALS,oahu,516235.08273683477
2024-04,AVERAGE DAILY CENSUS,hawaii island,33570.29888986472
2024-04,AVERAGE DAILY CENSUS,kauai,26195.249245335526
2024-04,AVERAGE DAILY CENSUS,lanai,368.4603065996324
2024-04,AVERAGE DAILY CENSUS,maui,45436.18202294113
2024-04,AVERAGE DAILY CENSUS,molokai,257.35858548500386
2024-04,AVERAGE DAILY CENSUS,oahu,101586.19922252117
2024-04,AVERAGE LENGTH OF STAY,hawaii island,7.41008479189038
2024-04,AVERAGE LENGTH OF STAY,kauai,7.155736815364367
2024-04,AVERAGE LENGTH OF STAY,lanai,3.8892034630103565
2024-04,AVERAGE LENGTH OF STAY,maui,7.6912239271058995
2024-04,AVERAGE LENGTH OF STAY,molokai,4.620145348055032
2024-04,AVERAGE LENGTH OF STAY,oahu,6.72120797110407
2024-04,PER PERSON PER DAY SPENDING ($),hawaii island,257.04629038682657
2024-04,PER PERSON PER DAY SPENDING ($),kauai,297.8158927020361
2024-04,PER PERSON PER DAY SPENDING ($),lanai,700.3673891067358
2024-04,PER PERSON PER DAY SPENDING ($),maui,290.5148084171977
2024-04,PER PERSON PER DAY SPENDING ($),molokai,180.514843328258
2024-04,PER PERSON PER DAY SPENDING ($),oahu,206.1801495520912
2024-04,PER PERSON PER TRIP SPENDING ($),hawaii island,1904.734807207262
2024-04,PER PERSON PER TRIP SPENDING ($),kauai,2131.0921476085637
2024-04,PER PERSON PER TRIP SPENDING ($),lanai,2723.8712750934383
2024-04,PER PERSON PER TRIP SPENDING ($),maui,2234.414445676937
2024-04,PER PERSON PER TRIP SPENDING ($),molokai,834.0048136579342
2024-04,PER PERSON PER TRIP SPENDING ($),oahu,1385.7796646529443
2024-04,TOTAL EXPENDITURES ($ MILLION),hawaii island,258.87362390450187
2024-04,TOTAL EXPENDITURES ($ MILLION),kauai,234.0408461565581
2024-04,TOTAL EXPENDITURES ($ MILLION),lanai,7.741727487679557
2024-04,TOTAL EXPENDITURES ($ MILLION),maui,395.9965114681099
2024-04,TOTAL EXPENDITURES ($ MILLION),molokai,1.3937113421402272
2024-04,TOTAL EXPENDITURES ($ MILLION),oahu,628.3517324438384
2024-04,TOTAL VISITOR DAYS,hawaii island,1007108.9666959416
2024-04,TOTAL VISITOR DAYS,kauai,785857.4773600658
2024-04,TOTAL VISITOR DAYS,lanai,11053.809197988972
2024-04,TOTAL VISITOR DAYS,maui,1363085.4606882338
2024-04,TOTAL VISITOR DAYS,molokai,7720.7575645501165
2024-04,TOTAL VISITOR DAYS,oahu,3047585.976675635
2024-04,VISITOR ARRIVALS,hawaii island,135910.58604324269
2024-04,VISITOR ARRIVALS,kauai,109822.02079773531
2024-04,VISITOR ARRIVALS,lanai,2842.178174302304
2024-04,VISITOR ARRIVALS,maui,177226.07917894077
2024-04,VISITOR ARRIVALS,molokai,1671.1070719453376
2024-04,VISITOR ARRIVALS,oahu,453428.31077060377
2024-05,AVERAGE DAILY CENSUS,hawaii island,31577.54040504539
2024-05,AVERAGE DAILY CENSUS,kauai,26549.010581748396
2024-05,AVERAGE DAILY CENSUS,lanai,458.21096485602885
